==20216== NVPROF is profiling process 20216, command: K_medoids_Cuda_v2.exe
==20216== Profiling application: K_medoids_Cuda_v2.exe
==20216== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
180.51ms  13.696us                    -               -         -         -         -  156.25KB  10.880GB/s    Pageable      Device  NVIDIA GeForce          1         7  [CUDA memcpy HtoD]
180.65ms     320ns                    -               -         -         -         -       80B  238.42MB/s    Pageable      Device  NVIDIA GeForce          1         7  [CUDA memcpy HtoD]
181.04ms  4.0960us                    -               -         -         -         -  39.063KB  9.0949GB/s      Device           -  NVIDIA GeForce          1         7  [CUDA memset]
181.05ms  3.4240us                    -               -         -         -         -  78.125KB  21.760GB/s      Device           -  NVIDIA GeForce          1         7  [CUDA memset]
181.21ms  60.067us           (4096 1 1)        (32 1 1)        28        0B        0B         -           -           -           -  NVIDIA GeForce          1         7  calculateClusters(Point*, int, Point*, int, int*) [136]
181.39ms  3.8720us                    -               -         -         -         -  39.063KB  9.6211GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
181.49ms  62.874ms           (4096 1 1)        (32 1 1)        40        0B      256B         -           -           -           -  NVIDIA GeForce          1         7  updateMedoids(Point*, int, Point*, int, int*, double*, int) [139]
244.71ms  7.7120us                    -               -         -         -         -  78.125KB  9.6610GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
244.98ms  2.6880us                    -               -         -         -         -       16B  5.6766MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
244.98ms  8.6400us                    -               -         -         -         -       16B  1.7661MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
244.99ms  1.5040us                    -               -         -         -         -       16B  10.145MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
245.00ms  1.4720us                    -               -         -         -         -       16B  10.366MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
245.00ms  1.4720us                    -               -         -         -         -       16B  10.366MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
245.00ms     960ns                    -               -         -         -         -       80B  79.473MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
245.10ms  55.779us           (4096 1 1)        (32 1 1)        28        0B        0B         -           -           -           -  NVIDIA GeForce          1         7  calculateClusters(Point*, int, Point*, int, int*) [148]
245.20ms  3.4240us                    -               -         -         -         -  39.063KB  10.880GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
245.30ms  61.352ms           (4096 1 1)        (32 1 1)        40        0B      256B         -           -           -           -  NVIDIA GeForce          1         7  updateMedoids(Point*, int, Point*, int, int*, double*, int) [151]
307.01ms  15.969us                    -               -         -         -         -  78.125KB  4.6657GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
307.27ms  2.4640us                    -               -         -         -         -       16B  6.1927MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
307.28ms  1.3440us                    -               -         -         -         -       16B  11.353MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
307.28ms  1.4720us                    -               -         -         -         -       16B  10.366MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
307.28ms  1.3440us                    -               -         -         -         -       16B  11.353MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
307.28ms  1.4720us                    -               -         -         -         -       16B  10.366MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
307.29ms     864ns                    -               -         -         -         -       80B  88.303MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
307.37ms  51.458us           (4096 1 1)        (32 1 1)        28        0B        0B         -           -           -           -  NVIDIA GeForce          1         7  calculateClusters(Point*, int, Point*, int, int*) [160]
307.50ms  3.3920us                    -               -         -         -         -  39.063KB  10.983GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
307.59ms  57.211ms           (4096 1 1)        (32 1 1)        40        0B      256B         -           -           -           -  NVIDIA GeForce          1         7  updateMedoids(Point*, int, Point*, int, int*, double*, int) [163]
364.93ms  6.4960us                    -               -         -         -         -  78.125KB  11.469GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
365.21ms  1.7920us                    -               -         -         -         -       16B  8.5149MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
365.21ms  1.3440us                    -               -         -         -         -       16B  11.353MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
365.21ms  1.3440us                    -               -         -         -         -       16B  11.353MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
365.21ms  1.3440us                    -               -         -         -         -       16B  11.353MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
365.22ms  1.3440us                    -               -         -         -         -       16B  11.353MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
365.22ms     480ns                    -               -         -         -         -       80B  158.95MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
365.33ms  51.171us           (4096 1 1)        (32 1 1)        28        0B        0B         -           -           -           -  NVIDIA GeForce          1         7  calculateClusters(Point*, int, Point*, int, int*) [172]
365.45ms  14.496us                    -               -         -         -         -  39.063KB  2.5699GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
365.57ms  57.272ms           (4096 1 1)        (32 1 1)        40        0B      256B         -           -           -           -  NVIDIA GeForce          1         7  updateMedoids(Point*, int, Point*, int, int*, double*, int) [175]
422.98ms  6.3680us                    -               -         -         -         -  78.125KB  11.700GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
423.27ms  1.7920us                    -               -         -         -         -       16B  8.5149MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
423.27ms  1.3760us                    -               -         -         -         -       16B  11.089MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
423.27ms  1.3440us                    -               -         -         -         -       16B  11.353MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
423.28ms  1.3440us                    -               -         -         -         -       16B  11.353MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
423.28ms  1.3440us                    -               -         -         -         -       16B  11.353MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
423.29ms     480ns                    -               -         -         -         -       80B  158.95MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
423.39ms  51.235us           (4096 1 1)        (32 1 1)        28        0B        0B         -           -           -           -  NVIDIA GeForce          1         7  calculateClusters(Point*, int, Point*, int, int*) [184]
423.48ms  3.3600us                    -               -         -         -         -  39.063KB  11.087GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
423.55ms  55.689ms           (4096 1 1)        (32 1 1)        40        0B      256B         -           -           -           -  NVIDIA GeForce          1         7  updateMedoids(Point*, int, Point*, int, int*, double*, int) [187]
479.35ms  6.4000us                    -               -         -         -         -  78.125KB  11.642GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
479.76ms  1.7280us                    -               -         -         -         -       16B  8.8303MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
479.76ms  1.2800us                    -               -         -         -         -       16B  11.921MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
479.77ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
479.77ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
479.77ms  1.2800us                    -               -         -         -         -       16B  11.921MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
479.77ms     448ns                    -               -         -         -         -       80B  170.30MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
479.87ms  47.490us           (4096 1 1)        (32 1 1)        28        0B        0B         -           -           -           -  NVIDIA GeForce          1         7  calculateClusters(Point*, int, Point*, int, int*) [196]
479.96ms  3.3920us                    -               -         -         -         -  39.063KB  10.983GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
480.04ms  52.983ms           (4096 1 1)        (32 1 1)        40        0B      256B         -           -           -           -  NVIDIA GeForce          1         7  updateMedoids(Point*, int, Point*, int, int*, double*, int) [199]
533.19ms  6.3680us                    -               -         -         -         -  78.125KB  11.700GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
533.48ms  1.6970us                    -               -         -         -         -       16B  8.9916MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
533.49ms  1.2800us                    -               -         -         -         -       16B  11.921MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
533.49ms  1.2800us                    -               -         -         -         -       16B  11.921MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
533.49ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
533.49ms  1.2480us                    -               -         -         -         -       16B  12.227MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
533.50ms     448ns                    -               -         -         -         -       80B  170.30MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
533.62ms  46.562us           (4096 1 1)        (32 1 1)        28        0B        0B         -           -           -           -  NVIDIA GeForce          1         7  calculateClusters(Point*, int, Point*, int, int*) [208]
533.75ms  3.3600us                    -               -         -         -         -  39.063KB  11.087GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
533.88ms  53.058ms           (4096 1 1)        (32 1 1)        40        0B      256B         -           -           -           -  NVIDIA GeForce          1         7  updateMedoids(Point*, int, Point*, int, int*, double*, int) [211]
587.07ms  6.3680us                    -               -         -         -         -  78.125KB  11.700GB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
587.34ms  1.6960us                    -               -         -         -         -       16B  8.9969MB/s      Device      Device  NVIDIA GeForce          1         7  [CUDA memcpy DtoD]
